date,model,EM,F1
2019.09.05,Human Performance,68.82,83.86
2023.10.28,EXAONE-LM-v1.0 LG AI Research,79.26,90.93
2022.03.08,"LittleBird-large (single model) KakaoEnterprise - Minchul Lee, DongHyun Choi, Seung Woo Cho, Ae Lim Ahn",78.70,90.22
2022.09.02,LAYN (single model) Naver Search Language and Vision (Soonhwan Kwon & Sunghyun Park),78.06,89.99
2020.09.21,SDS-NET v1.3 (single model) Samsung SDS AI Research,77.86,89.82
2020.08.28,Ko-LongBERT (single model) LAIR,77.88,89.62
2020.08.28,SkERT-Large 1.1 (single model) Skelter Labs,77.44,88.81
2020.07.01,SDS-NET v1.2 (single model) Samsung SDS AI Research (Bae & Kwon),76.73,88.78
2022.02.09,"LittleBird-base (single model) KakaoEnterprise - Minchul Lee, DongHyun Choi, Seung Woo Cho, Ae Lim Ahn",76.66,88.57
2020.06.24,SkERT-Large (Single model) Skelter Labs,76.64,88.09
2020.05.03,SDS-NET v1.1 Samsung SDS AI Research (Bae & Kwon),73.87,86.81
2020.04.29,SDS-NET (single model) Sanghwan Bae & Soonhwan Kwon,73.51,86.56
2020.08.31,anonymous-baseline (single model) Anonymous,71.24,86.37
2020.06.22,SkERT-Large (Single model) Skelter Labs,73.29,86.03
2020.06.15,CNS-BERT (single model) Seungyoung Lim,70.67,83.57
2020.04.20,LaRva (single model) NAVER Clova AI LaRva,66.95,83.54
2022.11.08,LDCC-LM (single model) Lotte Data Communication AI Technical Team,69.07,83.06
2021.05.03,SkERT-Petit 1.1 (single model) Skelter Labs,68.5,82.93
2020.02.21,CNS-BERT (single model) Seungyoung Lim,68.39,82.62
2020.03.10,CNS-BERT_light (single model) Seungyoung Lim,66.96,80.48
2020.11.18,table_plus (single model) Anonymous,59.20,77.52
2020.12.04,SkERT-Petit 1.0 (single model) Skelter Labs,62.36,77.49
2020.01.29,onepick-open-simple (single model) SeoHyeong Jeong,58.21,77.33
2020.11.02,bert-base_model (single model) Anonymous,57.33,75.87
2019.12.23,HanBert-54k-N (single model) TwoBlock Ai,55.28,71.19
2019.12.24,HanBert-90k-N (single model) TwoBlock Ai,54.28,70.44
2019.11.28,"KNU-baseline (single model) Kangwon National University, Intelligent Software Lab.",26.53,66.69
2019.09.05,Baseline,30.24,45.96
